identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
722202,Sébastien,Jumel,Normandie,Seine-Maritime,6,Permanent politique,Gauche démocrate et républicaine,GDR,Oui
642764,Joël,Aviragnet,Occitanie,Haute-Garonne,8,Directeur d'un établissement pour l'enfance handicapée,Socialistes et apparentés,SOC,Oui
2449,Jean-Pierre,Pont,Hauts-de-France,Pas-de-Calais,5,Médecin,La République en Marche,LaREM,Oui
720684,Pierre-Henri,Dumont,Hauts-de-France,Pas-de-Calais,7,Collaborateur parlementaire,Les Républicains,LR,Oui
721710,Michèle,Peyron,Ile-de-France,Seine-et-Marne,9,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
719338,Graziella,Melchior,Bretagne,Finistère,5,Professeure agrégée du supérieur,La République en Marche,LaREM,Oui
720386,Fabien,Di Filippo,Grand Est,Moselle,4,Cadre du secteur privé,Les Républicains,LR,Oui
335054,Marietta,Karamanli,Pays de la Loire,Sarthe,2,Professeur dans l'enseignement supérieur,Socialistes et apparentés,SOC,Oui
720054,Yannick,Haury,Pays de la Loire,Loire-Atlantique,9,Pharmacien,La République en Marche,LaREM,Oui
267780,Agnès,Firmin Le Bodo,Normandie,Seine-Maritime,7,Pharmacien,Agir ensemble,Agir ens,Oui
722102,Annie,Vidal,Normandie,Seine-Maritime,2,Chargée de projet,La République en Marche,LaREM,Oui
719718,Laurence,Maillart-Méhaignerie,Bretagne,Ille-et-Vilaine,2,Chef entreprise,La République en Marche,LaREM,Oui
720692,Fabien,Roussel,Hauts-de-France,Nord,20,Attaché parlementaire,Gauche démocrate et républicaine,GDR,Oui
721844,Béatrice,Piron,Ile-de-France,Yvelines,3,Chef d'entreprise,La République en Marche,LaREM,Oui
719218,Hervé,Berville,Bretagne,Côtes-d'Armor,2,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
642847,Thibault,Bazin,Grand Est,Meurthe-et-Moselle,4,Autre cadre (secteur privé),Les Républicains,LR,Oui
267318,Jean-Carles,Grelier,Pays de la Loire,Sarthe,5,Avocat,Les Républicains,LR,Oui
718884,Valérie,Bazin-Malgras,Grand Est,Aube,2,Commerçante,Les Républicains,LR,Oui
607193,Sophie,Errante,Pays de la Loire,Loire-Atlantique,10,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
330240,Éric,Ciotti,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1,Autre profession,Les Républicains,LR,Oui
720074,Caroline,Janvier,Centre-Val de Loire,Loiret,2,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
330008,Xavier,Breton,Auvergne-Rhône-Alpes,Ain,1,Cadre territorial,Les Républicains,LR,Oui
774958,Gérard,Leseul,Normandie,Seine-Maritime,5,Cadre d'entreprise / enseignant universitaire,Socialistes et apparentés,SOC,Oui
335612,Jean-Paul,Lecoq,Normandie,Seine-Maritime,8,Fonctionnaire de catégorie B,Gauche démocrate et républicaine,GDR,Oui
718674,Olga,Givernet,Auvergne-Rhône-Alpes,Ain,3,Ingénieure aéronautique,La République en Marche,LaREM,Oui
346054,Emmanuel,Maquet,Hauts-de-France,Somme,3,Agent général d'assurances,Les Républicains,LR,Oui
722110,Hubert,Wulfranc,Normandie,Seine-Maritime,3,Profession rattachée à l'enseignement,Gauche démocrate et républicaine,GDR,Oui
720696,Béatrice,Descamps,Hauts-de-France,Nord,21,Enseignant 1er deg.-directeur école,UDI et Indépendants,UDI-I,Oui
721852,Marie,Lebec,Ile-de-France,Yvelines,4,Consultante en affaires publiques,La République en Marche,LaREM,Oui
1874,Marc,Le Fur,Bretagne,Côtes-d'Armor,3,Sous-préfet,Les Républicains,LR,Oui
607553,Dominique,Potier,Grand Est,Meurthe-et-Moselle,5,Agriculteur,Socialistes et apparentés,SOC,Oui
720422,Adrien,Quatennens,Hauts-de-France,Nord,1,Employé (secteur privé),La France insoumise,FI,Oui
719006,Fabrice,Le Vigoureux,Normandie,Calvados,1,Professeur des Universités,La République en Marche,LaREM,Oui
720066,Stéphanie,Rist,Centre-Val de Loire,Loiret,1,Médecin,La République en Marche,LaREM,Oui
342196,Claudia,Rouaux,Bretagne,Ille-et-Vilaine,3,Gestionnaire à l'INRAE,Socialistes et apparentés,SOC,Oui
721046,Nathalie,Bassire,Réunion,Réunion,3,Retraitée de l'enseignement,Les Républicains,LR,Oui
335999,Delphine,Batho,Nouvelle-Aquitaine,Deux-Sèvres,2,Cadre territorial,Non inscrit,NI,Oui
720704,Laurence,Vichnievsky,Auvergne-Rhône-Alpes,Puy-de-Dôme,3,Magistrat,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
721750,Céline,Calvez,Ile-de-France,Hauts-de-Seine,5,Consultante communication,La République en Marche,LaREM,Oui
719372,Guillaume,Kasbarian,Centre-Val de Loire,Eure-et-Loir,1,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
721522,Xavier,Batut,Normandie,Seine-Maritime,10,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
720414,Patrice,Perrot,Bourgogne-Franche-Comté,Nièvre,2,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
720430,Ugo,Bernalicis,Hauts-de-France,Nord,2,Fonctionnaire de catégorie A,La France insoumise,FI,Oui
266808,Vincent,Rolland,Auvergne-Rhône-Alpes,Savoie,2,Collaborateur parlementaire,Les Républicains,LR,Oui
774960,Isabelle,Santiago,Ile-de-France,Val-de-Marne,9,Cadre territorial,Socialistes et apparentés,SOC,Oui
605069,Jean-Louis,Bricout,Hauts-de-France,Aisne,3,Cadre (secteur privé),Socialistes et apparentés,SOC,Oui
722134,Jean-Marie,Fiévet,Nouvelle-Aquitaine,Deux-Sèvres,3,Fonctionnaire de catégorie B,La République en Marche,LaREM,Oui
721880,Marie,Guévenoux,Ile-de-France,Essonne,9,Collaborateur politique,La République en Marche,LaREM,Oui
606098,Olivier,Marleix,Centre-Val de Loire,Eure-et-Loir,2,Fonctionnaire de catégorie A,Les Républicains,LR,Oui
