identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
643175,Stella,Dupont,Pays de la Loire,Maine-et-Loire,2,Comptable,La République en Marche,LaREM,Oui
722284,Bruno,Fuchs,Grand Est,Haut-Rhin,6,Industriel-Chef d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719436,Nicolas,Meizonnet,Occitanie,Gard,2,Ingénieur en informatique,Non inscrit,NI,Oui
720754,Bruno,Studer,Grand Est,Bas-Rhin,3,Professeur du secondaire et technique,La République en Marche,LaREM,Oui
720764,Florence,Lasserre,Nouvelle-Aquitaine,Pyrénées-Atlantiques,5,Employée du secteur privé,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
605991,Annie,Genevard,Bourgogne-Franche-Comté,Doubs,5,Professeur du secondaire ,Les Républicains,LR,Oui
330909,Vincent,Descoeur,Auvergne-Rhône-Alpes,Cantal,1,Professeur agrégé de biologie,Les Républicains,LR,Oui
333285,Guillaume,Garot,Pays de la Loire,Mayenne,1,Cadre administratif,Socialistes et apparentés,SOC,Oui
721466,Gilles,Le Gendre,Ile-de-France,Paris,2,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
719072,Thomas,Mesnier,Nouvelle-Aquitaine,Charente,1,Médecin,La République en Marche,LaREM,Oui
721118,Moetai,Brotherson,Polynésie française,Polynésie Française,3,Autre profession,Gauche démocrate et républicaine,GDR,Oui
605036,Damien,Abad,Auvergne-Rhône-Alpes,Ain,5,Sans profession déclarée,Non inscrit,NI,Oui
719922,Lionel,Causse,Nouvelle-Aquitaine,Landes,2,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
719798,Daniel,Labaronne,Centre-Val de Loire,Indre-et-Loire,2,Maître de conférences,La République en Marche,LaREM,Oui
719814,Fabienne,Colboc,Centre-Val de Loire,Indre-et-Loire,4,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
720772,Vincent,Bru,Nouvelle-Aquitaine,Pyrénées-Atlantiques,6,Professeur de faculté,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
720560,Perrine,Goulet,Bourgogne-Franche-Comté,Nièvre,1,Autre cadre (secteur privé),Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
774954,Anne-Laure,Blin,Pays de la Loire,Maine-et-Loire,3,,Les Républicains,LR,Oui
720256,Géraldine,Bannier,Pays de la Loire,Mayenne,2,Professeur du secondaire et technique,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
721474,Stéphane,Viry,Grand Est,Vosges,1,Avocat,Les Républicains,LR,Oui
719080,Sandra,Marsaud,Nouvelle-Aquitaine,Charente,2,Cadre (entreprises publiques),La République en Marche,LaREM,Oui
721486,Christophe,Naegelen,Grand Est,Vosges,3,Industriel-Chef d'entreprise,UDI et Indépendants,UDI-I,Oui
720170,Carole,Grandjean,Grand Est,Meurthe-et-Moselle,1,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
719930,Boris,Vallaud,Nouvelle-Aquitaine,Landes,3,Fonctionnaire de catégorie A,Socialistes et apparentés,SOC,Oui
608416,Patrick,Hetzel,Grand Est,Bas-Rhin,7,Professeur des Universités,Les Républicains,LR,Oui
720892,Mathilde,Panot,Ile-de-France,Val-de-Marne,10,Coordinatrice de projets associatifs,La France insoumise,FI,Oui
720908,Naïma,Moutchou,Ile-de-France,Val-d'Oise,4,Avocat,La République en Marche,LaREM,Oui
643192,Chantal,Jourdan,Normandie,Orne,1,Psychologue,Socialistes et apparentés,SOC,Oui
719822,Sabine,Thillaye,Centre-Val de Loire,Indre-et-Loire,5,Chef d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
345722,Constance,Le Grip,Ile-de-France,Hauts-de-Seine,6,Permanent politique,Les Républicains,LR,Oui
721584,Jean,Terlier,Occitanie,Tarn,3,Avocat,La République en Marche,LaREM,Oui
721816,Ian,Boucard,Bourgogne-Franche-Comté,Territoire de Belfort,1,Autre cadre (secteur privé),Les Républicains,LR,Oui
267324,Jean-Jacques,Gaultier,Grand Est,Vosges,4,Médecin biologiste,Les Républicains,LR,Oui
