identifiant;Prénom;Nom;Région;Département;Numéro de circonscription;Profession;Groupe politique (complet);Groupe politique (abrégé)
794066;Frédéric;Mathieu;Bretagne;Ille-et-Vilaine;1;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
642847;Thibault;Bazin;Grand Est;Meurthe-et-Moselle;4;Autre cadre (secteur privé);Les Républicains;LR
795192;Steve;Chailloux;Polynésie française;Polynésie Française;2;Professeur, profession scientifique;Gauche démocrate et républicaine - NUPES;GDR - NUPES
793948;Nicolas;Thierry;Nouvelle-Aquitaine;Gironde;2;Consultant en développement durable;Écologiste - NUPES;Ecolo - NUPES
712014;Vincent;Ledoux;Hauts-de-France;Nord;10;Professeur;Renaissance;RE
793330;Bryan;Masson;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6;Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN
609332;Olivier;Faure;Ile-de-France;Seine-et-Marne;11;Cadre supérieur (secteur privé);Socialistes et apparentés;SOC
720138;Laetitia;Saint-Paul;Pays de la Loire;Maine-et-Loire;4;Officier de l'armée de Terre;Renaissance;RE
795046;Caroline;Yadan;Ile-de-France;Paris;3;avocat;Renaissance;RE
721004;Amélia;Lakrafi;Français établis hors de France;Français établis hors de France;10;Chef d'entreprise;Renaissance;RE
719512;Corinne;Vignon;Occitanie;Haute-Garonne;3;Cadre supérieur (secteur privé);Renaissance;RE
330240;Éric;Ciotti;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;1;;Les Républicains;LR
794702;Delphine;Lingemann;Auvergne-Rhône-Alpes;Puy-de-Dôme;4;Chef d'entreprise - Enseignante associée université;Démocrate (MoDem et Indépendants);Dem
342384;Élisa;Martin;Auvergne-Rhône-Alpes;Isère;3;Professeur, profession scientifique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721816;Ian;Boucard;Bourgogne-Franche-Comté;Territoire de Belfort;1;Autre cadre (secteur privé);Les Républicains;LR
721410;Émilie;Bonnivard;Auvergne-Rhône-Alpes;Savoie;3;Cadre à la Caisse des Dépôts et Consignations;Les Républicains;LR
793254;Julien;Rancoule;Occitanie;Aude;3;Profession libérale;Rassemblement National;RN
793816;Mélanie;Thomin;Bretagne;Finistère;6;Professeur, profession scientifique;Socialistes et apparentés;SOC
796034;Frank;Giletti;Provence-Alpes-Côte d'Azur;Var;6;Fonctionnaire;Rassemblement National;RN
721170;Stéphane;Vojetta;Français établis hors de France;Français établis hors de France;5;Entrepreneur;Renaissance;RE
794130;Andy;Kerbrat;Pays de la Loire;Loire-Atlantique;2;Chargé d'assistance automobile;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794954;Emeric;Salmon;Bourgogne-Franche-Comté;Haute-Saône;2;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
342196;Claudia;Rouaux;Bretagne;Ille-et-Vilaine;3;Gestionnaire à l'INRAE;Socialistes et apparentés;SOC
794194;Mathilde;Desjonquères;Centre-Val de Loire;Loir-et-Cher;1;Directrice Culture, Patrimoine et Sport;Démocrate (MoDem et Indépendants);Dem
795844;Karen;Erodi;Occitanie;Tarn;2;Profession libérale;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
774958;Gérard;Leseul;Normandie;Seine-Maritime;5;Cadre d'entreprise / enseignant universitaire;Socialistes et apparentés;SOC
1008;Alain;David;Nouvelle-Aquitaine;Gironde;4;Ingénieur;Socialistes et apparentés;SOC
793884;Sébastien;Rome;Occitanie;Hérault;4;Professeur des écoles, instituteur et assimilé;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719930;Boris;Vallaud;Nouvelle-Aquitaine;Landes;3;Fonctionnaire de catégorie A;Socialistes et apparentés;SOC
795010;Marie-Charlotte;Garin;Auvergne-Rhône-Alpes;Rhône;3;Collaboratrice politique en collectivité locale;Écologiste - NUPES;Ecolo - NUPES
719528;Jean-François;Portarrieu;Occitanie;Haute-Garonne;5;Journaliste;Horizons et apparentés;HOR
793122;Romain;Daubié;Auvergne-Rhône-Alpes;Ain;2;Avocat;Démocrate (MoDem et Indépendants);Dem
721522;Xavier;Batut;Normandie;Seine-Maritime;10;Autre cadre (secteur privé);Horizons et apparentés;HOR
793688;Pascale;Martin;Nouvelle-Aquitaine;Dordogne;1;Ancien cadre;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795908;Yannick;Chenevard;Provence-Alpes-Côte d'Azur;Var;1;Profession libérale;Renaissance;RE
795270;Marie-Agnès;Poussier-Winsback;Normandie;Seine-Maritime;9;Enseignante;Horizons et apparentés;HOR
794022;Jérémie;Iordanoff;Auvergne-Rhône-Alpes;Isère;5;Artiste-peintre;Écologiste - NUPES;Ecolo - NUPES
